counts,Every.Stepback,X,Harden.s.Sample,X.1,X.2,X.3,X.4
209,,NA,0,NA,NA,,NA
210,,NA,1,NA,NA,,NA
211,,NA,0,NA,NA,,NA
212,,NA,0,NA,NA,,NA
213,,NA,0,NA,NA,,NA
214,,NA,1,NA,NA,,NA
215,,NA,1,NA,NA,,NA
216,,NA,0,NA,NA,,NA
217,,NA,0,NA,NA,,NA
218,,NA,1,NA,NA,,NA
219,,NA,1,NA,NA,,NA
220,,NA,0,NA,NA,,NA
221,,NA,0,NA,NA,,NA
222,,NA,0,NA,NA,,NA
223,,NA,0,NA,NA,,NA
224,,NA,0,NA,NA,,NA
225,,NA,1,NA,NA,,NA
226,,NA,0,NA,NA,,NA
227,,NA,0,NA,NA,,NA
228,,NA,0,NA,NA,,NA
229,,NA,1,NA,NA,,NA
230,,NA,1,NA,NA,,NA
231,,NA,0,NA,NA,,NA
232,,NA,1,NA,NA,,NA
233,,NA,0,NA,NA,,NA
234,,NA,1,NA,NA,,NA
235,,NA,0,NA,NA,,NA
236,,NA,0,NA,NA,,NA
237,,NA,0,NA,NA,,NA
238,,NA,1,NA,NA,,NA
239,,NA,0,NA,NA,,NA
240,,NA,1,NA,NA,,NA
241,,NA,1,NA,NA,,NA
242,,NA,1,NA,NA,,NA
243,,NA,0,NA,NA,,NA
244,,NA,1,NA,NA,,NA
